consonant,voiced,sonorant,nasal,continuant,affricate,palatalized,place
b,1,0,0,0,0,0,labial
by,1,0,0,0,0,1,labial
p,0,0,0,0,0,0,labial
py,0,0,0,0,0,1,labial
m,1,1,1,0,0,0,labial
my,1,1,1,0,0,1,labial
f,0,0,0,1,0,0,labial
w,1,1,0,1,0,0,labial
d,1,0,0,0,0,0,coronal
dy,1,0,0,0,0,1,coronal
t,0,0,0,0,0,0,coronal
ts,0,0,0,0,1,0,coronal
ch,0,0,0,0,1,1,coronal
s,0,0,0,1,0,0,coronal
sh,0,0,0,1,0,1,coronal
z,1,0,0,1,0,0,coronal
j,1,0,0,0,1,1,coronal
n,1,1,1,0,0,0,coronal
ny,1,1,1,0,0,1,coronal
r,1,1,0,0,0,0,coronal
ry,1,1,0,0,0,1,coronal
y,1,1,0,1,0,1,dorsal
k,0,0,0,0,0,0,dorsal
ky,0,0,0,0,0,1,dorsal
g,1,0,0,0,0,0,dorsal
gy,1,0,0,0,0,1,dorsal
h,0,0,0,1,0,0,glottal
hy,0,0,0,1,0,1,glottal
