phonome1,phonome2,distance
N,N,67.941011
N,a,80.72875058823529
N,a:,82.9653293529412
N,e,76.36955370588237
N,e:,80.42309270588235
N,i,76.43280152941176
N,i:,78.1343295882353
N,o,78.0892213529412
N,o:,81.89387847058825
N,q,73.460933
N,sp,72.408095
N,u,71.22149041176469
N,u:,74.42587076470588
a,N,71.12597211764707
a,a,61.35262210726641
a,a:,64.3326449065744
a,e,76.44335938062277
a,e:,81.98876981660905
a,i,83.73323075086498
a,i:,87.59631185813159
a,o,69.22572099999994
a,o:,72.36734153287206
a,q,72.1893561764706
a,sp,67.93465347058823
a,u,73.75713295155708
a,u:,80.28147064359865
a:,N,67.48710435294117
a:,a,59.82411007266432
a:,a:,56.41432420069204
a:,e,74.2954689584775
a:,e:,77.2109661453287
a:,i,81.8014855813148
a:,i:,84.56268005536336
a:,o,66.41393228373704
a:,o:,68.26490679238756
a:,q,73.34390747058825
a:,sp,67.36901288235293
a:,u,71.61176506920424
a:,u:,73.05778274740487
e,N,67.88908288235294
e,a,76.4679754705882
e,a:,76.37579546020768
e,e,59.932936249134954
e,e:,63.801229491349545
e,i,70.82086523183396
e,i:,73.54710994117667
e,o,73.36026219031139
e,o:,75.46487091695504
e,q,71.78779247058823
e,sp,68.05770511764706
e,u,68.45848199307963
e,u:,71.1236742145329
e:,N,64.29329764705884
e:,a,76.15940724221451
e:,a:,73.48978508650522
e:,e,57.388752048442925
e:,e:,54.176587249134926
e:,i,65.98867551211069
e:,i:,64.46611544982683
e:,o,71.92895990311418
e:,o:,73.06073065397926
e:,q,70.24443188235293
e:,sp,66.43350976470589
e:,u,64.5112034394464
e:,u:,64.33375181314878
i,N,71.64253611764704
i,a,87.06136878892741
i,a:,88.83670479238765
i,e,73.82187168166084
i,e:,75.29096318685117
i,i,61.30280942214527
i,i:,64.25035935986165
i,o,81.17102380622833
i,o:,83.1118695882353
i,q,71.91401305882356
i,sp,71.72301064705881
i,u,72.04639314186842
i,u:,74.34312105190303
i:,N,70.55659982352941
i:,a,86.79827509688583
i:,a:,85.84705243252616
i:,e,72.05002192387545
i:,e:,69.06666654671281
i:,i,60.25156036678196
i:,i:,56.156040006920314
i:,o,80.48481089965397
i:,o:,81.27834544636673
i:,q,72.59975005882353
i:,sp,71.77269176470588
i:,u,71.9307444152249
i:,u:,70.66859089619369
o,N,70.34871447058823
o,a,71.27373818339093
o,a:,71.47611961591697
o,e,77.83154428719719
o,e:,81.4042636574395
o,i,81.79159821799308
o,i:,85.50699417301038
o,o,62.33243706920413
o,o:,63.98694653287193
o,q,77.17558835294119
o,sp,71.50794805882353
o,u,71.51683924567476
o,u:,75.83788380622843
o:,N,68.95811617647058
o:,a,71.4468068788928
o:,a:,70.35499316955016
o:,e,76.56902110034603
o:,e:,78.48198001038057
o:,i,79.63982378546713
o:,i:,82.72757627335625
o:,o,60.61045451211067
o:,o:,59.64994104498264
o:,q,77.84503694117645
o:,sp,71.31267205882352
o:,u,70.35698989273357
o:,u:,72.64365160899644
q,N,64.543802
q,a,70.3022668235294
q,a:,77.54000394117647
q,e,70.19873970588236
q,e:,77.83056176470588
q,i,67.0643114117647
q,i:,75.96577529411766
q,o,72.47254747058822
q,o:,76.48389064705883
q,q,54.823277
q,sp,60.043634
q,u,66.30438411764705
q,u:,76.61045847058824
sp,N,62.558562
sp,a,61.10387735294119
sp,a:,65.00871688235293
sp,e,61.78828088235296
sp,e:,66.37477623529414
sp,i,63.42899676470589
sp,i:,72.37995411764705
sp,o,63.408824176470596
sp,o:,63.916513764705876
sp,q,54.575936
sp,sp,51.144595
sp,u,61.83626435294118
sp,u:,70.62200229411765
u,N,66.23118152941176
u,a,76.1519995155709
u,a:,76.86063593079587
u,e,70.69517159861596
u,e:,74.10840529757793
u,i,72.13801303460203
u,i:,75.59993631833903
u,o,72.9926564256055
u,o:,75.79777826989626
u,q,69.94078911764706
u,sp,68.46479370588237
u,u,62.94258111072662
u,u:,67.25153571626298
u:,N,64.75993858823529
u:,a,75.94841879930804
u:,a:,73.84268773702428
u:,e,71.11433693079589
u:,e:,70.89287653979238
u:,i,71.46273247750867
u:,i:,70.82044762283756
u:,o,73.1769268062284
u:,o:,74.50008876124572
u:,q,71.44699405882353
u:,sp,69.88474929411763
u:,u,63.81490334602074
u:,u:,60.70387979238749
